CCAA;SEXO;EDAD;P4_1;P4_2;P4_3;P4_4;P4_5;P4_6;P4_7;P4_8;P5;P17E;P17F;ECIVIL;P19;P20;P21;P22;P22A;SIMPATIA;ESCIDEOL;RECUVOTOG;CERCANIA;ESCUELA;NIVELESTENTREV;RELIGION;PRACTICARELIG6;SITLAB;RELALAB;CNO11;INGRESHOG;CLASESOCIAL;SINCERIDAD
17;1;62;4;2;5;4;2;2;5;2;4;1;1;1;0;1;1;1;0;3;8;0;3;3;6;2;3;3;0;0;3;3;2
1;1;82;1;1;1;1;2;5;5;5;2;0;0;3;5;1;1;2;5;9997;7;9999;9997;3;8;1;5;2;0;0;3;3;2
13;1;66;4;2;4;4;4;4;4;2;2;1;1;1;0;1;1;1;0;0;3;21;21;3;11;4;0;2;0;0;2;3;1
13;2;63;5;1;5;5;1;1;5;5;5;0;0;5;5;1;2;2;5;9997;99;21;9997;3;5;5;0;4;0;0;5;6;1
8;2;38;1;4;1;2;1;4;5;1;1;0;0;1;1;1;2;1;0;0;1;1;21;3;2;3;1;4;0;0;5;3;1
12;1;54;5;2;5;2;5;5;1;1;2;1;2;1;0;1;1;1;0;0;4;6;6;3;9;4;0;4;0;0;3;12;1
13;2;56;1;1;4;1;1;5;5;1;5;0;0;5;4;1;2;2;4;0;10;3;3;3;13;2;4;1;1;4;2;3;2
9;2;87;2;1;1;1;5;5;5;1;1;0;0;3;5;1;2;2;5;0;8;2;2;3;4;1;2;3;0;0;5;3;1
1;1;32;5;2;5;5;2;5;1;2;4;1;2;1;0;1;1;2;1;0;3;1;2;3;6;6;0;1;1;8;3;3;1
13;1;50;4;4;1;2;5;5;4;5;1;1;2;1;0;1;1;1;0;9997;5;9999;9997;3;5;2;2;1;1;10;2;98;2
7;1;46;4;4;4;4;4;4;4;2;4;0;0;2;3;1;1;2;3;9997;5;9998;9997;3;10;1;5;1;3;3;4;98;2
12;2;53;1;1;1;1;1;5;2;2;4;0;0;2;2;1;2;1;0;0;1;1;2;3;5;2;3;8;0;0;6;4;8
5;1;21;1;5;2;1;1;5;1;1;2;0;0;2;1;1;1;2;1;0;98;0;9998;3;6;5;0;1;4;9;8;98;2
8;1;51;2;4;4;2;4;5;4;2;1;1;2;1;0;1;1;1;0;0;3;1;1;3;9;2;3;1;1;2;2;3;1
1;1;24;4;1;1;4;4;5;4;1;4;2;4;2;0;1;1;1;0;9997;5;0;1;3;10;4;0;6;0;0;4;4;1
8;1;56;2;2;3;4;2;5;2;2;1;1;2;1;0;1;1;1;0;0;3;1;4;3;11;2;1;1;1;5;4;4;2
3;2;24;5;4;4;5;4;4;2;4;2;1;4;2;0;1;2;1;0;0;3;1;1;3;10;6;0;6;0;0;2;3;2
1;1;89;2;2;1;2;2;4;2;2;1;0;0;3;1;99;1;2;1;1;5;9999;9999;3;2;2;5;2;0;0;6;96;1
1;2;45;4;2;5;5;5;4;5;1;4;2;4;5;0;1;2;1;0;0;6;2;2;3;15;1;5;1;1;8;5;6;2
1;1;74;4;5;5;5;1;5;4;1;1;1;2;1;0;1;1;1;0;0;3;1;21;3;8;2;2;2;0;0;3;3;1
10;1;56;4;4;4;4;1;4;4;1;2;1;1;1;0;1;1;2;4;0;6;2;2;3;11;6;0;1;3;2;3;4;2
1;2;35;4;4;4;2;4;5;5;2;2;1;3;2;0;1;2;1;0;9998;1;1;8;3;10;6;0;1;1;2;2;5;2
13;2;57;4;1;2;4;1;2;1;2;4;0;0;2;4;1;2;2;4;0;3;0;1;3;11;5;0;1;1;2;2;3;1
9;1;72;5;4;4;1;2;5;5;2;2;1;2;1;0;1;1;1;0;0;2;1;1;3;12;4;0;1;3;2;2;3;2
1;2;49;5;2;5;5;5;2;2;5;4;2;4;2;0;1;2;1;0;0;2;21;9;3;14;6;0;1;1;2;4;5;1
1;2;66;1;4;2;1;2;4;5;2;1;1;4;5;0;1;2;1;0;0;3;1;1;3;11;6;0;1;1;1;1;3;1
1;1;38;5;4;5;5;2;5;1;1;4;2;4;2;0;1;1;1;0;0;2;21;9;3;15;6;0;1;2;1;4;5;1
10;1;38;2;1;1;1;2;4;4;1;5;0;0;2;4;3;1;2;2;0;7;1;3;3;7;3;2;6;0;0;2;11;1
14;1;47;4;4;2;2;2;1;2;2;2;1;2;1;0;2;1;1;0;9998;4;1;1;3;11;5;0;1;1;2;1;2;2
3;1;47;4;2;5;2;2;2;8;2;2;2;96;2;0;1;1;1;0;0;99;3;3;3;4;6;0;1;1;8;4;5;1
1;2;63;2;4;1;2;2;4;5;5;2;1;1;1;0;1;2;1;0;9999;5;9999;9999;3;4;2;3;1;9;99;6;96;1
17;1;21;5;5;1;4;5;5;1;1;5;0;0;2;2;2;1;2;4;0;7;0;3;3;6;2;3;6;0;0;2;3;2
10;2;46;4;5;5;5;2;5;5;2;2;1;2;1;0;1;2;1;0;0;8;1;1001;3;5;4;0;1;2;1;2;4;1
1;2;26;5;4;4;5;4;5;1;1;4;1;4;2;0;3;96;1;0;0;1;21;8;3;10;6;0;1;1;2;4;5;1
2;1;58;5;2;4;5;2;5;5;1;2;1;1;1;0;1;1;1;0;0;6;2;2;3;10;2;3;1;1;2;2;3;1
10;2;49;2;2;2;1;2;2;5;4;2;1;3;1;0;1;2;1;0;0;98;0;2;3;9;3;2;7;0;0;4;3;2
8;1;40;4;4;4;2;4;4;4;1;1;2;4;2;0;2;1;1;0;0;1;0;8;3;14;1;5;1;1;2;5;8;1
12;2;41;1;5;2;4;2;5;4;1;2;1;4;2;0;1;2;1;0;0;7;6;6;3;13;2;1;1;1;4;3;3;1
10;2;56;5;4;4;5;4;5;5;4;2;1;4;3;0;1;2;1;0;0;3;21;1001;3;11;6;0;1;5;2;1;3;2
1;2;68;1;4;4;4;1;4;4;1;2;1;1;1;0;1;2;2;5;0;1;21;9;3;4;2;1;7;0;0;5;5;1
1;2;58;4;4;1;2;4;5;2;4;4;1;1;1;0;1;2;1;0;9;3;9977;9;3;6;1;5;4;0;0;4;3;2
16;2;40;4;4;2;2;2;5;2;2;4;2;4;2;0;1;2;1;0;0;3;1602;1602;3;8;6;0;1;1;5;4;5;2
9;2;87;2;2;1;2;2;5;5;4;2;0;0;3;5;1;2;1;0;0;6;1;1;3;11;4;0;3;0;0;9;3;2
3;2;71;4;4;2;2;5;5;2;2;2;1;1;1;0;1;2;1;0;1;3;1;8;3;4;4;0;2;0;0;4;4;2
17;1;62;5;1;5;5;5;5;2;1;1;1;2;1;0;1;1;1;0;0;3;1;1;3;11;6;0;1;1;3;3;3;2
11;1;45;4;4;4;4;4;4;4;1;2;2;4;5;0;1;1;1;0;9998;5;1;9997;3;6;5;0;1;1;5;3;3;1
13;2;57;4;2;4;4;5;4;2;5;5;1;1;1;0;1;2;1;0;0;3;1;21;3;9;4;0;7;0;0;3;12;1
12;2;38;2;2;2;1;2;1;5;1;4;1;2;1;0;1;2;1;0;3;7;0;3;3;7;4;0;1;3;3;4;5;1
10;2;32;4;4;4;4;4;4;4;2;5;1;4;2;0;1;2;1;0;0;3;21;21;3;15;6;0;4;0;0;5;5;1
8;1;42;2;5;4;2;4;4;4;2;1;1;3;2;0;1;1;1;0;0;8;2;2;3;7;2;2;1;3;7;5;3;1
16;2;44;4;1;1;1;5;5;5;1;2;1;2;1;0;1;2;1;0;9997;99;0;9997;3;4;3;6;1;1;9;9;5;2
1;2;54;2;2;5;2;2;1;1;2;1;0;0;5;4;1;2;2;4;9997;5;0;9997;3;4;2;2;4;0;0;6;3;2
13;1;51;4;5;4;4;4;5;2;1;4;2;96;2;0;1;1;2;5;0;8;2;2;3;6;6;0;1;1;3;4;4;2
4;2;52;4;2;4;5;2;4;4;1;4;2;4;5;0;1;2;9;5;0;9;0;9997;3;6;2;3;1;3;5;5;3;2
9;2;50;5;2;5;5;4;5;1;1;4;2;4;2;0;1;2;2;5;0;1;21;8995;3;14;5;0;4;0;0;6;3;2
10;2;48;5;5;4;1;5;4;2;1;5;0;0;4;4;1;2;2;5;0;10;3;3;3;7;1;4;1;2;1;3;3;1
15;2;57;4;4;5;4;2;4;4;1;2;1;1;1;0;1;2;1;0;0;2;9999;9997;3;8;2;3;1;1;2;2;3;2
9;2;43;1;2;2;1;1;5;4;1;1;1;1;1;0;1;2;1;0;0;8;0;901;3;11;3;3;1;1;5;4;4;1
2;2;39;2;4;2;2;4;4;5;4;2;0;0;4;5;1;2;2;1;0;4;0;1;3;11;6;0;4;0;0;5;4;1
8;1;37;4;5;4;2;4;4;5;1;4;2;4;2;0;1;1;1;0;0;4;8995;5;3;6;2;1;1;1;5;5;3;1
1;1;32;4;5;4;5;4;4;2;1;4;0;0;2;4;1;1;2;4;0;2;21;8;3;13;6;0;1;1;2;4;5;1
3;2;67;4;2;4;2;4;4;4;2;2;1;1;1;0;1;2;1;0;0;3;21;9;3;6;2;1;2;0;0;3;5;1
19;1;53;4;1;4;4;5;2;5;2;1;1;1;1;0;1;1;1;0;0;5;2;2;3;11;4;0;1;1;2;4;3;1
